Internal ID Variant (Do Not Edit),Category,SKU,Items Name (Do Not Edit),ecommerce item? (Yes/No),Pre-order ? (Yes/No),Processing days,Weight (gm),Length (cm),Width (cm),Height (cm),Condition,Brand Name,Gender,Age group,Color,Size,Material,Variant name (Recommended Format: Color/Size/Material) e.g. Red/Medium/Cotton,Basic - Price,Image 1 (for Online Store),Image 2 (for Online Store),Image 3 (for Online Store),Image 4 (for Online Store),Image 5 (for Online Store),Image 6 (for Online Store),Image 7 (for Online Store),Image 8 (for Online Store),Image 9 (for Online Store),Image 10 (for Online Store),Image 11 (for Online Store),Image 12 (for Online Store),SIRCLO - Price,In Store - Price,In Stock,Track Stock,Track Alert,Stock Alert,Track Cost,Cost Amount
,SEPATU FUTSAL,1102061736,11020617 ORTUSEIGHT JOGOSALA STRIVE - BEIGE/NAVY,No,No,0,,,,,,,,,,,,36,399000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,257554
,SEPATU FUTSAL,1102061737,11020617 ORTUSEIGHT JOGOSALA STRIVE - BEIGE/NAVY,No,No,0,,,,,,,,,,,,37,399000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,257554
,SEPATU FUTSAL,1102061738,11020617 ORTUSEIGHT JOGOSALA STRIVE - BEIGE/NAVY,No,No,0,,,,,,,,,,,,38,399000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,257554
,SEPATU FUTSAL,1102061739,11020617 ORTUSEIGHT JOGOSALA STRIVE - BEIGE/NAVY,No,No,0,,,,,,,,,,,,39,399000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,257554
,SEPATU FUTSAL,1102061740,11020617 ORTUSEIGHT JOGOSALA STRIVE - BEIGE/NAVY,No,No,0,,,,,,,,,,,,40,399000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,257554
,SEPATU FUTSAL,1102061741,11020617 ORTUSEIGHT JOGOSALA STRIVE - BEIGE/NAVY,No,No,0,,,,,,,,,,,,41,399000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,257554
,SEPATU FUTSAL,1102061742,11020617 ORTUSEIGHT JOGOSALA STRIVE - BEIGE/NAVY,No,No,0,,,,,,,,,,,,42,399000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,257554
,SEPATU FUTSAL,1102061743,11020617 ORTUSEIGHT JOGOSALA STRIVE - BEIGE/NAVY,No,No,0,,,,,,,,,,,,43,399000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,257554
,SEPATU FUTSAL,1102061744,11020617 ORTUSEIGHT JOGOSALA STRIVE - BEIGE/NAVY,No,No,0,,,,,,,,,,,,44,399000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,257554
,SEPATU FUTSAL,1102061745,11020617 ORTUSEIGHT JOGOSALA STRIVE - BEIGE/NAVY,No,No,0,,,,,,,,,,,,45,399000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,257554
,SEPATU FUTSAL,1102061746,11020617 ORTUSEIGHT JOGOSALA STRIVE - BEIGE/NAVY,No,No,0,,,,,,,,,,,,46,399000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,257554
,SEPATU BOLA,1101060836,11010608 ORTUSEIGHT FORTE ASCALON FG  - WHITE/GOLD,No,No,0,,,,,,,,,,,,36,479000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,309194
,SEPATU BOLA,1101060837,11010608 ORTUSEIGHT FORTE ASCALON FG  - WHITE/GOLD,No,No,0,,,,,,,,,,,,37,479000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,309194
,SEPATU BOLA,1101060838,11010608 ORTUSEIGHT FORTE ASCALON FG  - WHITE/GOLD,No,No,0,,,,,,,,,,,,38,479000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,309194
,SEPATU BOLA,1101060839,11010608 ORTUSEIGHT FORTE ASCALON FG  - WHITE/GOLD,No,No,0,,,,,,,,,,,,39,479000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,309194
,SEPATU BOLA,1101060840,11010608 ORTUSEIGHT FORTE ASCALON FG  - WHITE/GOLD,No,No,0,,,,,,,,,,,,40,479000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,309194
,SEPATU BOLA,1101060841,11010608 ORTUSEIGHT FORTE ASCALON FG  - WHITE/GOLD,No,No,0,,,,,,,,,,,,41,479000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,309194
,SEPATU BOLA,1101060842,11010608 ORTUSEIGHT FORTE ASCALON FG  - WHITE/GOLD,No,No,0,,,,,,,,,,,,42,479000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,309194
,SEPATU BOLA,1101060843,11010608 ORTUSEIGHT FORTE ASCALON FG  - WHITE/GOLD,No,No,0,,,,,,,,,,,,43,479000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,309194
,SEPATU BOLA,1101060844,11010608 ORTUSEIGHT FORTE ASCALON FG  - WHITE/GOLD,No,No,0,,,,,,,,,,,,44,479000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,309194
,SEPATU BOLA,1101060845,11010608 ORTUSEIGHT FORTE ASCALON FG  - WHITE/GOLD,No,No,0,,,,,,,,,,,,45,479000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,309194
,SEPATU BOLA,1101060846,11010608 ORTUSEIGHT FORTE ASCALON FG  - WHITE/GOLD,No,No,0,,,,,,,,,,,,46,479000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,309194
